aspect,n,accuracy,f1_macro
price,7473,0.7618729096989967,0.7619355863824797
battery,7845,0.7380497131931166,0.7370764518258842
audio,6892,0.7142857142857143,0.7173644672092633
accessories,7546,0.7092715231788079,0.7109104341341445
camera,2273,0.7032967032967034,0.705656862745098
connectivity,5628,0.6865008880994672,0.6892065938299804
build_quality,5575,0.683408071748879,0.6878805225660075
performance,2389,0.6820083682008368,0.677003772744441
shipping,3238,0.6743827160493827,0.6716788107874873
screen,2614,0.6462715105162524,0.6479765553431431
