ts,text,sentiment,urgency,aspects
2025-08-15T02:03:01.862159,"La entrega llegó tarde y el producto vino roto, quiero devolución",negative,high,quality|shipping
2025-08-15T02:05:26.284368,The product arrived late and the quality was terrible,negative,high,quality
2025-08-15T02:07:50.156558,The product arrived on time and works perfectly,positive,low,
2025-08-15T02:07:50.161721,The packaging was damaged and the item was broken,negative,high,quality
2025-08-15T02:07:50.174239,Customer service was very helpful and polite,neutral,low,
2025-08-14T14:21:35,Arrived late and box was damaged — too expensive,negative,high,price
2025-08-14T14:44:57,Arrived late and box was damaged,negative,high,
2025-08-14T14:27:41,Poor camera quality — worth the cost,neutral,low,price|quality
2025-08-14T14:08:06,Overpriced for what it offers — on-time delivery,neutral,low,price|shipping
2025-08-14T14:18:32,The item was broken and I want a refund,negative,high,quality
2025-08-14T14:02:54,Average performance — defective unit,negative,low,quality
2025-08-14T14:51:31,The item was broken and I want a refund — feels solid,negative,high,quality
2025-08-14T14:17:48,Arrived late and box was damaged — cheap build for the price,negative,high,price
2025-08-14T14:50:24,No issues so far — defective unit,negative,medium,quality
2025-08-14T14:00:13,Fast delivery and well packed,neutral,low,shipping
2025-08-14T14:55:50,Great value for the price,positive,low,price
2025-08-14T14:05:53,Overpriced for what it offers,neutral,low,price
2025-08-14T14:20:54,Great value for the price — feels solid,positive,low,price
2025-08-14T14:18:39,Overpriced for what it offers — feels solid,neutral,low,price
2025-08-14T14:40:55,Amazing battery life — excellent build,positive,low,
2025-08-14T14:50:45,Amazing battery life — on-time delivery,positive,low,shipping
2025-08-14T14:47:20,"Excellent quality, I loved it — on-time delivery",positive,low,quality|shipping
2025-08-14T14:40:15,Battery dies quickly — too expensive,neutral,low,price
2025-08-14T14:05:01,The item was broken and I want a refund — late delivery,negative,high,quality|shipping
2025-08-14T14:02:42,Fast delivery and well packed — feels solid,neutral,low,shipping
2025-08-14T15:44:46,Great value for the price — on-time delivery,positive,low,price|shipping
2025-08-14T15:15:18,It works as expected — late delivery,negative,high,shipping
2025-08-14T15:04:37,Arrived late and box was damaged — worth the cost,negative,high,price
2025-08-14T15:07:47,Arrived late and box was damaged — worth the cost,negative,high,price
2025-08-14T15:56:41,Great value for the price — late delivery,negative,high,price|shipping
2025-08-14T15:15:45,Poor camera quality — defective unit,negative,low,quality
2025-08-14T15:44:23,Average performance — defective unit,negative,low,quality
2025-08-14T15:38:05,Camera is fantastic,neutral,low,
2025-08-14T15:00:45,Arrived late and box was damaged — late delivery,negative,high,shipping
2025-08-14T15:08:41,Great value for the price,positive,low,price
2025-08-14T15:54:00,Battery dies quickly — worth the cost,neutral,low,price
2025-08-14T15:55:05,Poor camera quality — poor quality,neutral,low,quality
2025-08-14T15:32:21,Arrived late and box was damaged — excellent build,negative,high,
2025-08-14T15:45:46,Poor camera quality — too expensive,neutral,low,price|quality
2025-08-14T15:39:18,It works as expected,neutral,low,
2025-08-14T15:04:53,Battery dies quickly — fast shipping,neutral,low,shipping
2025-08-14T15:55:45,The item was broken and I want a refund,negative,high,quality
2025-08-14T15:15:13,Camera is fantastic,neutral,low,
2025-08-14T15:30:18,Arrived late and box was damaged — damaged packaging,negative,high,
2025-08-14T15:41:45,"Excellent quality, I loved it — fast shipping",positive,low,quality|shipping
2025-08-14T16:52:37,Amazing battery life — excellent build,positive,low,
2025-08-14T16:02:51,Average performance,neutral,low,
2025-08-14T16:03:02,Poor camera quality — poor quality,neutral,low,quality
2025-08-14T16:38:37,Amazing battery life — cheap build for the price,positive,low,price
2025-08-14T16:58:43,Nothing special about it — fast shipping,neutral,low,shipping
2025-08-14T16:35:32,The item was broken and I want a refund — stopped working,negative,high,quality
2025-08-14T16:01:51,The item was broken and I want a refund,negative,high,quality
2025-08-14T16:26:50,Arrived late and box was damaged — too expensive,negative,high,price
2025-08-14T16:23:58,Arrived late and box was damaged — feels solid,negative,high,
2025-08-14T16:14:41,Arrived late and box was damaged — excellent build,negative,high,
2025-08-14T16:32:52,Camera is fantastic — feels solid,neutral,low,
2025-08-14T16:53:14,It works as expected — worth the cost,neutral,low,price
2025-08-14T16:22:47,Overpriced for what it offers — great price,positive,low,price
2025-08-14T16:19:57,Arrived late and box was damaged,negative,high,
2025-08-14T16:59:19,Overpriced for what it offers — great price,positive,low,price
2025-08-14T16:02:41,The product is okay — late delivery,negative,high,shipping
2025-08-14T16:11:54,"Excellent quality, I loved it — defective unit",negative,low,quality
2025-08-14T16:20:07,Nothing special about it,neutral,low,
2025-08-14T16:27:58,No issues so far — poor quality,neutral,medium,quality
2025-08-14T16:02:55,The item was broken and I want a refund,negative,high,quality
2025-08-14T17:54:49,Overpriced for what it offers — slow courier,neutral,low,price|shipping
2025-08-14T17:47:14,"Excellent quality, I loved it",positive,low,quality
2025-08-14T17:51:17,Average performance — defective unit,negative,low,quality
2025-08-14T17:32:59,Battery dies quickly — overpriced,neutral,low,price
2025-08-14T17:44:42,Amazing battery life — damaged packaging,positive,low,
2025-08-14T17:00:25,The product is okay — stopped working,neutral,low,
2025-08-14T17:41:14,Arrived late and box was damaged — worth the cost,negative,high,price
2025-08-14T17:14:25,The item was broken and I want a refund — late delivery,negative,high,quality|shipping
2025-08-14T17:58:35,Great value for the price — slow courier,positive,low,price|shipping
2025-08-14T17:09:06,"Excellent quality, I loved it",positive,low,quality
2025-08-14T17:59:22,Battery dies quickly,neutral,low,
2025-08-14T17:01:23,Arrived late and box was damaged — overpriced,negative,high,price
2025-08-14T17:55:14,No issues so far — cheap build for the price,neutral,medium,price
2025-08-14T17:04:31,Poor camera quality — feels solid,neutral,low,quality
2025-08-14T17:51:13,Fast delivery and well packed — too expensive,neutral,low,price|shipping
2025-08-14T17:47:05,Arrived late and box was damaged — fast shipping,negative,high,shipping
